"FilingID","ReferenceID","Disclosure Type","CRD Number","Affiliate Type","Registered","Affiliate Name"
"946490","947957","Regulatory Action","","Firm","N","BLACKROCK, INC."
"946490","947958","Regulatory Action","","Firm","N","BLACKROCK, INC."
"946490","947960","Regulatory Action","","Firm","N","BLACKROCK, INC."
"946490","947961","Regulatory Action","","Firm","N","BLACKROCK, INC."
"946490","947962","Regulatory Action","","Firm","N","BLACKROCK, INC."
"946490","947963","Regulatory Action","","Firm","N","BLACKROCK, INC."
"946490","947966","Regulatory Action","","Firm","N","BLACKROCK, INC."
"946490","947968","Regulatory Action","","Firm","N","BLACKROCK, INC."
"946490","947969","Regulatory Action","","Firm","N","BLACKROCK, INC."
"946490","947970","Regulatory Action","","Firm","N","BLACKROCK INC"
"946490","947971","Regulatory Action","","Firm","N","BLACKROCK, INC."
"946490","947972","Regulatory Action","","Firm","N","BLACKROCK INC"
"946490","947973","Regulatory Action","","Firm","N","BLACKROCK INC"
"949275","950750","Regulatory Action","2441534","Individual","Y","LAMMERT, WARREN, BURNET"
"949947","951797","Civil Judicial Action","","Firm","N","DEUTSCHE BANK AG"
"949947","951798","Criminal","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"949947","951799","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"949947","951800","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"949947","951801","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"949947","951802","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"949947","951803","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"949947","951804","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"949947","951805","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"949947","951806","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"949947","951807","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"949947","951808","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"949947","951809","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"") INCLUDING DBAG (NY BRANCH)"
"949947","951810","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"949947","951811","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"949947","951812","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"949947","951813","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"950628","952775","Civil Judicial Action","8209","Firm","Y","MORGAN STANLEY & CO. LLC"
"950628","952776","Regulatory Action","8209","Firm","Y","MORGAN STANLEY & CO. LLC"
"950861","953201","Regulatory Action","","Firm","N","HSBC HOLDINGS PLC"
"950861","953202","Regulatory Action","","Firm","N","HSBC HOLDINGS PLC"
"951289","954076","Regulatory Action","","Firm","N","HSBC HOLDINGS PLC"
"951289","954077","Regulatory Action","","Firm","N","HSBC HOLDINGS PLC"
"953066","956266","Criminal","6576135","Individual","N","PROVOST, JIM"
"953110","956179","Civil Judicial Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956180","Civil Judicial Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956181","Civil Judicial Action","","Firm","N","J.P. MORGAN CHASE & COMPANY"
"953110","956181","Civil Judicial Action","","Firm","N","J.P. MORGAN CHASE BANK, N.A."
"953110","956182","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"953110","956183","Regulatory Action","","Firm","N","JPMORGAN & CHASE CO"
"953110","956184","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"953110","956185","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"953110","956186","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956187","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956188","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956189","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956190","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"953110","956191","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"953110","956192","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"953110","956193","Regulatory Action","","Firm","N","JPMORGAN & CHASE CO"
"953110","956194","Regulatory Action","","Firm","N","JPMORGAN & CHASE CO"
"953110","956195","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"953110","956196","Regulatory Action","","Firm","N","JPMORGAN & CHASE CO"
"953110","956197","Regulatory Action","","Firm","N","JPMORGAN & CHASE CO"
"953110","956198","Regulatory Action","","Firm","N","JPMORGAN & CHASE CO"
"953110","956199","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956200","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956201","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956202","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956203","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956204","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956205","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956206","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956207","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956208","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"953110","956209","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"953110","956210","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956211","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"953110","956212","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956213","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"953110","956214","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"953110","956215","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956216","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956217","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956218","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956219","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956220","Regulatory Action","","Firm","N","JPMORGAN CHASE & .CO."
"953110","956221","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956222","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956223","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956224","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956225","Regulatory Action","","Firm","N","JPMORGAN & CHASE CO."
"953110","956226","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956227","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956228","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956229","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956230","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956231","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956232","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956233","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"953110","956234","Criminal","","Firm","N","JPMORGAN CHASE & CO."
"953110","956235","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956236","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956237","Regulatory Action","","Firm","Y","HIGHBRIDGE CAPITAL MANAGEMENT, LLC"
"953110","956238","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956239","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953110","956240","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"953731","956610","Civil Judicial Action","","Firm","N","DEUTSCHE BANK AG"
"953731","956611","Criminal","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"953731","956612","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"953731","956613","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"953731","956614","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"953731","956615","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"") INCLUDING DBAG (NY BRANCH)"
"953731","956616","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"953731","956617","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953731","956618","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (LONDON BRANCH) (""DBL)"
"953731","956619","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953731","956620","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953731","956621","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953731","956622","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (LONDON)"
"953731","956623","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (LONDON BRANCH) (""DBL"")"
"953731","956624","Regulatory Action","","Firm","Y","DEUTSCHE BANK AG"
"953731","956625","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"953731","956626","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953731","956627","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953731","956628","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953731","956629","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953731","956635","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"953775","956733","Civil Judicial Action","","Firm","N","DEUTSCHE BANK AG"
"953775","956734","Criminal","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"953775","956735","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"953775","956736","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"") INCLUDING DBAG (NY BRANCH)"
"953775","956737","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"953775","956738","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"953775","956739","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"953775","956740","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953775","956741","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953775","956742","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (LONDON BRANCH) (""DBL"")"
"953775","956743","Regulatory Action","","Firm","Y","DEUTSCHE BANK AG"
"953775","956744","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953775","956745","Regulatory Action","","Firm","Y","DEUTSCHE BANK AG (LONDON)"
"953775","956746","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (LONDON BRANCH) (""DBL"")"
"953775","956747","Regulatory Action","","Firm","Y","DEUTSCHE BANK AG"
"953775","956748","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"953775","956749","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953775","956750","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953775","956751","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953775","956752","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"953775","956754","Regulatory Action","","Firm","Y","DEUTSCHE BANK AG (""DBAG"")"
"954305","957374","Criminal","","Firm","N","TRAFIGURA BEHEER B.V."
"954317","957381","Civil Judicial Action","6040855","Individual","Y","BYRNE, MARTIN, JOHN"
"954317","957382","Criminal","","Firm","N","TRAFIGURA BEHEER B.V."
"954326","957387","Criminal","","Firm","N","TRAFIGURA BEHEER B.V."
"954359","957800","Civil Judicial Action","8209","Firm","Y","MORGAN STANLEY & CO. LLC"
"954359","957801","Regulatory Action","8209","Firm","Y","MORGAN STANLEY & CO. LLC"
"954862","958386","Civil Judicial Action","161259","Firm","Y","BANK OF SCOTLAND PLC"
"954862","958387","Civil Judicial Action","161259","Firm","Y","BANK OF SCOTLAND PLC"
"954862","958388","Criminal","161257","Firm","Y","LLOYDS BANK PLC"
"954862","958389","Regulatory Action","161257","Firm","Y","LLOYDS BANK PLC"
"954862","958390","Regulatory Action","161257","Firm","Y","LLOYDS BANK PLC"
"954862","958397","Regulatory Action","161259","Firm","Y","BANK OF SCOTLAND PLC"
"954862","958398","Regulatory Action","161259","Firm","Y","BANK OF SCOTLAND PLC"
"954862","958399","Regulatory Action","161259","Firm","Y","BANK OF SCOTLAND PLC"
"954862","958400","Regulatory Action","161259","Firm","Y","BANK OF SCOTLAND PLC"
"954862","958404","Regulatory Action","","Firm","N","LLOYDS BANKING GROUP PLC"
"954862","958405","Regulatory Action","161259","Firm","Y","BANK OF SCOTLAND PLC"
"956504","960475","Civil Judicial Action","","Firm","N","DEUTSCHE BANK AG"
"956504","960476","Criminal","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"956504","960477","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"956504","960478","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956504","960479","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956504","960480","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956504","960481","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956504","960482","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956504","960483","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956504","960484","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956504","960485","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956504","960486","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956504","960487","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956504","960488","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"") INCLUDING DBAG (NY BRANCH)"
"956504","960489","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"956504","960490","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"956504","960491","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"956504","960492","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"956780","960797","Civil Judicial Action","","Firm","N","DEUTSCHE BANK AG"
"956780","960798","Criminal","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"956780","960799","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"956780","960800","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"956780","960801","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"956780","960802","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"") INCLUDING DBAG (NY BRANCH)"
"956780","960803","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"956780","960804","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956780","960805","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (LONDON BRANCH) (""DBL"")"
"956780","960806","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956780","960807","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956780","960808","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956780","960809","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (LONDON)"
"956780","960810","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (LONDON BRANCH) (""DBL)"
"956780","960811","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"956780","960812","Regulatory Action","","Firm","Y","DEUTSCHE BANK AG"
"956780","960813","Regulatory Action","","Firm","N","DEUTSCHE BANK AG (""DBAG"")"
"956780","960814","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956780","960815","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956780","960816","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
"956780","960817","Regulatory Action","","Firm","N","DEUTSCHE BANK AG"
