"FilingID","SchA-3","Schedule","Full Legal Name","DE/FE/I","Entity in Which","Title or Status","Status Acquired","Ownership Code","Control Person","PR","OwnerID"
"1007599","Y","A","WILLIAMS, RYAN, NEIL","I","","PRESIDENT/DIRECTOR","04/2011","NA","Y","N","5030857"
"1007599","Y","A","LLOYD OWEN, HARRY, DAVID MATTHEW","I","","CHIEF OPERATING OFFICER","01/2014","NA","Y","N","6048454"
"1007599","Y","A","HALSEY INVESTMENTS LTD","FE","","OWNER","12/1987","E","Y","N","HALSEY"
"1007599","","B","LAMOTTE, HARALD, ALEJANDRO","I","HALSEY INVESTMENTS LTD","OWNER","12/1987","E","Y","N","6048451"
"1007599","Y","A","LAMOTTE, NICHOLAS, MAXIMILIAN","I","","EXECUTIVE CHAIRMAN","04/2009","NA","Y","N","5005935"
"1006749","N","A","MULDERRY, AMY, KANE","I","","MANAGING PARTNER / CHIEF COMPLIANCE OFFICER","01/2016","E","Y","N","4232545"
"1009619","N","A","ARAKAL, ALLEN, GEORGE","I","","CHIEF EXECUTIVE OFFICER","05/2015","E","Y","N","2626834"
"998431","Y","A","GROVER, ANTHONY, DAVID","I","","DIRECTOR OF REPORTING ENTITY","09/2001","NA","Y","N","6048347"
"998431","Y","A","WEISER, MARC, ALLEN","I","","MEMBER, MANAGING DIRECTOR OF REPORTING ENTITY, TRUSTEE","07/2000","D","Y","N","6048348"
"998431","Y","A","KHOURY, BRIAN","I","","MEMBER, MANAGING DIRECTOR OF REPORTING ENTITY","07/2000","D","Y","N","6048352"
"998431","Y","A","MARC A. WEISER LIVING TRUST, UNDER TRUST AGREEMENT DATED MAY 25, 2001","DE","","MARC WEISER, TRUSTEE MEMBER AND MANAGING DIRECTOR OF REPORTING ENTITY","01/2012","D","Y","N","xxx-xx-xxxx"
"998431","","B","WEISER, MARC, ALLEN","I","MARC A. WEISER LIVING TRUST, UNDER TRUST AGREEMENT DATED MAY 25, 2001","TRUSTEE","05/2001","F","Y","N","6048348"
"998431","","B","MARC A. WEISER LIVING TRUST, UNDER TRUST AGREEMENT DATED MAY 25, 2001","DE","WAYPOINT VENTURES, LLC","MEMBER","01/2012","D","Y","N","xxx-xx-xxxx"
"1016086","Y","A","CDH CHINA MANAGEMENT COMPANY LIMITED","FE","","SHAREHOLDER OF CDH VENTURE MANAGEMENT III COMPANY LIMITED","06/2012","D","Y","N","98-0498627"
"1016086","Y","A","CYBERLAND FINANCE LIMITED","FE","","SHAREHOLDER OF CDH VENTURE MANAGEMENT III COMPANY LIMITED","07/2012","B","N","N","FOREIGN ENTITY"
"1016086","Y","A","WEMDALE VENTURE LIMITED","FE","","SHAREHOLDER OF CDH VENTURE MANAGEMENT III COMPANY LIMITED","07/2012","A","N","N","FOREIGN ENTITY"
"1016086","Y","A","HARRIAN LIMITED","FE","","SHAREHOLDER OF CDH VENTURE MANAGEMENT III COMPANY LIMITED","07/2012","A","N","N","FOREIGN ENTITY"
"1016086","Y","A","FRUITREE COMPANY LIMITED","FE","","SHAREHOLDER OF CDH VENTURE MANAGEMENT III COMPANY LIMITED","07/2012","A","N","N","FOREIGN ENETITY"
"1016086","Y","A","WU, SHANGZHI, (NMN)","I","","DIRECTOR OF CDH VENTURE MANAGEMENT III COMPANY LIMITED","06/2012","NA","Y","N","6048466"
"1016086","Y","A","JIAO, SHUGE, (NMN)","I","","DIRECTOR OF CDH VENTURE MANAGEMENT III COMPANY LIMITED","06/2012","NA","Y","N","6048467"
"1016086","Y","A","SCHONBERGER, STUART","I","","DIRECTOR OF CDH VENTURE MANAGEMENT III COMPANY LIMITED","06/2012","NA","Y","N","6051776"
"1016086","Y","A","HUANG, YAN","I","","DIRECTOR OF CDH VENTURE MANAGEMENT III COMPANY LIMITED","06/2012","NA","Y","N","6050028"
"1016086","Y","A","HSU, WILLIAM, SHANG WI","I","","DIRECTOR OF CDH VENTURE MANAGEMENT III COMPANY LIMITED","06/2012","NA","Y","N","6050026"
"1016086","Y","A","CHEN, WENJIANG","I","","DIRECTOR OF CDH VENTURE MANAGEMENT III COMPANY LIMITED","06/2012","NA","Y","N","6050030"
"1016086","Y","A","CHINA VENTURE TEAM III, L.P.","FE","","SHAREHOLDER OF CDH VENTURE GP III COMPANY LIMITED","05/2012","D","Y","N","FOREIGN ENTITY"
"1016086","Y","A","CDH VENTURE HOLDINGS II COMPANY LIMITED","FE","","SHAREHOLDER OF CDH VENTURE GP III COMPANY LIMITED","07/2012","C","Y","N","98-0557542"
"1016086","Y","A","HSU, WILLIAM, SHANG WI","I","","DIRECTOR OF CDH VENTURE GP III COMPANY LIMITED","05/2012","NA","Y","N","6050026"
"1016086","Y","A","GUO, LI","I","","CHIEF FINANCIAL OFFICER OF CDH CHINA MANAGEMENT COMPANY LIMITED AND ITS AFFILIATES","02/2009","NA","N","N","6052128"
"1016086","","B","CHINA DIAMOND HOLDINGS COMPANY LIMITED","FE","CDH CHINA MANAGEMENT COMPANY LIMITED","SHAREHOLDER","04/2006","D","Y","N","98-0533296"
"1016086","","B","WU, SHANGZHI, (NMN)","I","CHINA DIAMOND HOLDINGS COMPANY LIMITED","BENEFICIAL OWNER","03/2007","C","Y","N","6048466"
"1016086","","B","JIAO, SHUGE, (NMN)","I","CHINA DIAMOND HOLDINGS COMPANY LIMITED","BENEFICIAL OWNER","03/2007","C","Y","N","6048467"
"1016086","","B","CHINA VENTURE TEAM COMPANY LIMITED","FE","CHINA VENTURE TEAM III, L.P.","GENERAL PARTNER","05/2012","F","Y","N","98-0533301"
"1016086","","B","CHINA DIAMOND VC II, L.P.","FE","CDH VENTURE HOLDINGS II COMPANY LIMITED","CLASS A ORDINARY SHAREHOLDER","10/2006","E","Y","N","98-0557450"
"1016086","","B","CHINA DIAMOND HOLDINGS COMPANY LIMITED","FE","CHINA DIAMOND VC II, L.P.","GENERAL PARTNER","10/2007","F","Y","N","98-0553296"
"1016086","","B","CZI II GP HOLDINGS, L.P.","FE","CDH VENTURE HOLDINGS II COMPANY LIMITED","CLASS B ORDINARY SHAREHOLDER","11/2007","E","Y","N","FOREIGN ENTITY"
"1016086","","B","CAPITAL Z EMPLOYEES II, L.P.","FE","CZI II GP HOLDINGS, L.P.","GENERAL PARTNER","12/2001","F","Y","N","FOREIGN ENTITY"
"1016086","","B","CAPITAL Z PARTNERS II, LTD","FE","CAPITAL Z EMPLOYEES II, L.P.","GENERAL PARTNER","03/2001","F","Y","N","FOREIGN ENTITY"
