"FilingID","ReferenceID","Disclosure Type","CRD Number","Affiliate Type","Registered","Affiliate Name"
"931014","926618","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926619","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926620","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926621","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926622","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926623","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926624","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926625","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926626","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926627","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926628","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926629","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926630","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926631","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926632","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926633","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926634","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926635","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926636","Regulatory Action","","Firm","N","JPMORGAN & CHASE CO."
"931014","926637","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926638","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926639","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926640","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926641","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926642","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926643","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926644","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926645","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926646","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926647","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926648","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"931014","926649","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"931014","926650","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"931014","926651","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO"
"931014","926652","Regulatory Action","","Firm","N","JPMORGAN & CHASE CO"
"931014","926653","Regulatory Action","","Firm","N","JPMORGAN & CHASE CO"
"931014","926654","Regulatory Action","","Firm","N","JPMORGAN & CHASE CO"
"931014","926655","Regulatory Action","","Firm","N","JPMORGAN & CHASE CO"
"931014","926656","Regulatory Action","","Firm","N","JPMORGAN & CHASE CO"
"931014","926657","Regulatory Action","","Firm","N","JPMORGAN & CHASE CO"
"931014","926658","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926659","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926660","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926661","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926662","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926663","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926664","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926665","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926666","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926667","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926668","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926669","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926670","Civil Judicial Action","","Firm","N","J.P. MORGAN CHASE BANK, N.A."
"931014","926670","Civil Judicial Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926671","Regulatory Action","","Firm","N","J.P. MORGAN CHASE & CO."
"931014","926672","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926673","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926675","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926676","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"931014","926677","Criminal","","Firm","N","JPMORGAN CHASE & CO."
"931014","926678","Regulatory Action","","Firm","N","JPMORGAN CHASE & CO."
"933926","930994","Regulatory Action","","Firm","N","BLACKROCK, INC."
"933926","930995","Regulatory Action","","Firm","N","BLACKROCK, INC."
"933926","930997","Regulatory Action","","Firm","N","BLACKROCK, INC."
"933926","930998","Regulatory Action","","Firm","N","BLACKROCK, INC."
"933926","930999","Regulatory Action","107105","Firm","Y","BLACKROCK FINANCIAL MANAGEMENT, INC"
"933926","931000","Regulatory Action","","Firm","N","BLACKROCK, INC."
"933926","931001","Regulatory Action","","Firm","N","BLACKROCK, INC."
"933926","931002","Regulatory Action","","Firm","N","BLACKROCK, INC."
"933926","931003","Regulatory Action","","Firm","N","BLACKROCK, INC."
"933926","931004","Regulatory Action","","Firm","N","BLACKROCK INC"
"933926","931005","Regulatory Action","","Firm","N","BLACKROCK, INC."
"933926","931006","Regulatory Action","","Firm","N","BLACKROCK INC"
"933926","931007","Regulatory Action","","Firm","N","BLACKROCK INC"
"933926","931008","Regulatory Action","","Firm","N","BLACKROCK, INC."
