FilingID,Initial/Amended,11.A(1),11.A(2),11.B(1),11.B(2),Filed Against,ReferenceID,Remove-Affiliate,Remove-Expired,Remove-Filed in Error,Error Explantion,Affiliate Submitted,Organization,Court,Date First Charged,Charged Date Exact,First Charged Explanation,Event Detail,Felony,Status,Status Date,Status Date Exact,Status Date Explanation,Disposition,Summary
859987,AMENDED,Y,,,,Affiliates,860801,,,,,Y,,,,,,,,,,,,,
865800,AMENDED,Y,Y,,,Affiliates,870099,,,,,N,,"WISCONSIN CIRCUIT COURT, DANE COUNTY.   CASE NO 2009 CF 001925",10/21/2009,Y,,MR. VICKERMAN WAS CHARGED WITH A FELONY COUNT OF POSSESSION WITH INTENT TO DISTRIBUTE THC (<=200 GRAMS).  (WISCONSIN STATUTE 961.41(1M)(H)(1).,Y,Final,11/4/2010,Y,,"ON 3/18/2010, MR. VICKERMAN PLED ""NO CONTEST"" AND, PER AGREEMENT WITH THE PROSECUTION, ENTERED A SUPERVISORY PROGRAM.  AT THAT TIME, THE MATTER WAS SET FOR DEFERRED PROSECUTION OR SENTENCE.  ON 11/4/2010, THE CASE WAS DISMISSED ON THE MOTION OF THE PROSECUTION.","MR.VICKERMAN WAS CHARGED WITH POSSESSION WITH INTENT TO DISTRIBUTE THC (<=200 GRAMS) ON 10/21/2009.  HE PLED NO CONTEST TO THE CHARGES, AND, PER AGREEEMENT WITH PROSECUTORS, ENTERED A NINE-MONTH SUBSTANCE ABUSE AWARENESS PROGRAM.  AFTER 7 1/2 MONTHS, HIS PARTICIPATION IN THE PROGRAM WAS NO LONGER NECESSARY, AND, HAVING SUCCESSFULLY GONE THROUGH THE PROGRAM, THE CHARGE WAS DISMISSED BY THE PROSECUTION ON 11/4/2010."
865800,AMENDED,Y,,,,Affiliates,870098,,,,,N,,"HIGHBURY CORNER MAGISTRATES' COURT, LONDON, UK  CASE NUMBER: 011004206709",12/24/2010,Y,,"COUNT 1)  DRIVE MOTOR VEHICLE WHEN ALCOHOL LEVEL ABOVE LIMIT  THE JURISDICTION IN WHICH THIS VIOLATION OCCURRED DOES NOT UTILIZE THE TERMS ""FELONY"" AND ""MISDEMEANOR"" IN CLASSIFYING SUCH OFFENSES.  BASED ON FORM ADV INSTRUCTIONS, INASMUCH AS THIS OFFENSE IS PUNISHABLE BY A FINE IN EXCESS OF $1,000, IT IS CONSIDERED A FELONY FOR SEC REPORTING PURPOSES.  GUILTY  COUNT 2)  USE A MOTOR VEHICLE WITHOUT THIRD PARTY INSURANCE  THE JURISDICTION IN WHICH THIS VIOLATION OCCURRED DOES NOT UTILIZE THE TERMS ""FELONY"" AND ""MISDEMEANOR"" IN CLASSIFYING SUCH OFFENSES.  BASED ON FORM ADV INSTRUCTIONS, INASMUCH AS THIS OFFENSE IS NEITHER PUNISHABLE BY A TERM OF AT LEAST ONE YEAR IN PRISON NOR BY A FINE OF AT LEAST $1,000, IT IS CONSIDERED A MISDEMEANOR FOR SEC REPORTING PURPOSES.  GUILTY",Y,Final,1/11/2011,Y,,"A) CONVICTED ON BOTH COUNTS B) 1/11/2011 C & D) DRIVING PRIVILEGES WERE SUSPENDED FOR 20 MONTHS E) 1/11/2011 F) COUNT 1 RESULTED IN £3,600 IN FINES AND COUNT 2 RESULTED IN A £500 FINE G) 1/11/2011","ON JANUARY 11, 2011, FOLLOWING A DECEMBER 2010 CAR ACCIDENT IN LONDON WHERE GORDON BLACK WAS DRIVING AND AFTER WHICH HE FAILED TO PASS A BREATHALYZER TEST, HE WAS CONVICTED OF DRIVING A MOTOR VEHICLE WHEN HIS ALCOHOL LEVEL WAS ABOVE THE LIMIT, AS A RESULT OF WHICH HIS DRIVING PRIVILEGES WERE SUSPENDED FOR 20 MONTHS (SUCH A SUSPENSION IS AUTOMATICALLY IMPOSED FOR ALL SUCH DRIVING OFFENSES) AND HE WAS FINED £3,600.   IN ADDITION, ALTHOUGH MR. BLACK WAS DRIVING UNDER A VALID U.S. DRIVERS LICENSE, BECAUSE HE HAD BEEN IN THE UK FOR MORE THAN ONE YEAR AND HAD NOT TAKEN AND PASSED A UK DRIVERS TEST AT THE TIME OF THE ACCIDENT, HIS AUTOMOBILE INSURANCE WAS INVALIDATED, FOR WHICH HE WAS CONVICTED AND FINED £500."
867715,INITIAL,,Y,,,Affiliates,894228,,,,,Y,,,,,,,,,,,,,
869963,AMENDED,Y,Y,Y,Y,Affiliates,874220,,,,,N,,"UNITED STATES DISTRICT COURT - SOUTHERN DISTRICT OF NEW YORK - NEW YORK, NEW YORK - 14 CR-00460",7/9/2014,Y,,"ONE COUNT OF CONSPIRACY TO VIOLATE THE INTERNATIONAL EMERGENCY ECONOMIC POWERS ACT UNDER TITLE 50, UNITED STATES CODE, SECTIONS 1702 AND 1705 (""IEEPA""), AND THE TRADING WITH THE ENEMY ACT, TITLE 50, UNITED STATES CODE APPENDIX, SECTIONS 3, 5, AND 16 (""TWEA""), AND THE EXECUTIVE ORDERS AND REGULATIONS ISSUED THEREUNDER.  BNP PARIBAS S.A. (""BNPP"") ENTERED A GUILTY PLEA ON BOTH COUNTS.",Y,Pending,,,,"ON JULY 9, 2014, BNPP PLEADED GUILTY TO A ONE COUNT INFORMATION IN UNITED STATES DISTRICT COURT FOR THE SOUTHERN DISTRICT OF NEW YORK.  PURSUANT TO A PLEA AGREEMENT, BNPP FORFEITED A TOTAL OF APPROXIMATELY $8.9 BILLION, WHICH WAS CREDITED AGAINST PAYMENTS MADE BY BNPP IN CONNECTION WITH A CONCURRENT SETTLEMENT OF A RELATED CRIMINAL ACTION BROUGHT BY THE DISTRICT ATTORNEY OF THE COUNTY OF NEW YORK, AND RELATED REGULATORY ACTIONS BROUGHT BY THE BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, THE NEW YORK STATE DEPARTMENT OF FINANCIAL SERVICES, AND THE UNITED STATES DEPARTMENT OF THE TREASURY'S OFFICE OF FOREIGN ASSETS CONTROL.  THE FORFEITURE PAYMENT WAS DUE AND PAYABLE BY JULY 30, 2014.  BNPP WILL ALSO BE SUBJECT TO A TERM OF PROBATION OF FIVE YEARS AND CERTAIN ADDITIONAL OBLIGATIONS THEREUNDER, INCLUDING CONTINUING COOPERATION.  BNPP EXPECTS THAT THE DISTRICT COURT WILL ENTER A FINAL JUDGMENT OF CONVICTION AGAINST BNPP THAT WILL REQUIRE REMEDIES THAT ARE MATERIALLY THE SAME AS THOSE SET FORTH IN THE PLEA AGREEMENT.","FROM AT LEAST 2004 THROUGH 2012, BNPP KNOWINGLY AND WILLFULLY MOVED OVER $8.8 BILLION THROUGH THE U.S. FINANCIAL SYSTEM ON BEHALF OF SUDANESE, IRANIAN AND CUBAN SANCTIONED ENTITIES, IN VIOLATION OF U.S. ECONOMIC SANCTIONS.  BNPP WAIVED INDICTMENT AND AGREED TO BE CHARGED IN A ONE-COUNT CRIMINAL INFORMATION, FILED IN FEDERAL COURT IN THE SOUTHERN DISTRICT OF NEW YORK, CHARGING BNPP WITH KNOWINGLY AND WILLFULLY CONSPIRING TO COMMIT VIOLATIONS OF IEEPA AND TWEA.  BNPP AGREED TO PLEAD GUILTY TO THE INFORMATION, TO ENTER INTO A WRITTEN PLEA AGREEMENT, AND TO ACCEPT RESPONSIBILITY FOR ITS CRIMINAL CONDUCT."
869963,AMENDED,Y,Y,Y,Y,Affiliates,874221,,,,,N,,"SUPREME COURT OF THE CITY OF NEW YORK - COUNTY OF NEW YORK - NEW YORK, NEW YORK - 2014 NY 051231",6/30/2014,Y,,"ONE COUNT OF FALSIFYING BUSINESS RECORDS IN THE FIRST DEGREE, IN VIOLATION OF NEW YORK PENAL LAW § 175.10, A CLASS E FELONY, AND ONE COUNT OF CONSPIRACY IN THE FIFTH DEGREE, IN VIOLATION OF NEW YORK PENAL LAW § 105.05(1), A CLASS A MISDEMEANOR.  BNP PARIBAS S.A. (""BNPP"") ENTERED A GUILTY PLEA ON BOTH COUNTS.",Y,Pending,,,,"ON JUNE 30, 2014, BNPP PLEADED GUILTY TO A TWO-COUNT INFORMATION IN THE SUPREME COURT OF THE CITY OF NEW YORK, COUNTY OF NEW YORK.  PURSUANT TO A PLEA AGREEMENT, BNPP FORFEITED A TOTAL OF APPROXIMATELY $8.9 BILLION, WHICH WAS CREDITED AGAINST PAYMENTS MADE BY BNPP IN CONNECTION WITH A CONCURRENT SETTLEMENT OF A RELATED CRIMINAL ACTION BROUGHT BY THE OFFICE OF THE UNITED STATES ATTORNEY FOR THE SOUTHERN DISTRICT OF NEW YORK AND THE ASSET FORFEITURE AND MONEY LAUNDERING SECTION OF THE CRIMINAL DIVISION OF THE UNITED STATES DEPARTMENT OF JUSTICE, AND RELATED REGULATORY ACTIONS BROUGHT BY THE BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM, THE NEW YORK STATE DEPARTMENT OF FINANCIAL SERVICES, AND THE UNITED STATES DEPARTMENT OF THE TREASURY'S OFFICE OF FOREIGN ASSETS CONTROL.  THE FORFEITURE PAYMENT WAS DUE AND PAYABLE BY JULY 30, 2014.  BNPP EXPECTS TO BE SENTENCED TO A CONDITIONAL DISCHARGE SUBJECT TO CERTAIN CONDITIONS AND OBLIGATIONS.","FROM AT LEAST 2004 THROUGH 2012, BNPP KNOWINGLY AND WILLFULLY MOVED OVER $8.8 BILLION THROUGH THE U.S. FINANCIAL SYSTEM ON BEHALF OF SUDANESE, IRANIAN AND CUBAN SANCTIONED ENTITIES, IN VIOLATION OF U.S. ECONOMIC SANCTIONS.  BNPP WAIVED INDICTMENT AND AGREED TO BE CHARGED IN A TWO-COUNT FELONY SUPERIOR COURT INFORMATION, CHARGING BNPP WITH THE CRIME OF FALSIFYING BUSINESS RECORDS IN THE FIRST DEGREE AND CONSPIRACY IN THE FIFTH DEGREE.  BNPP AGREED TO PLEAD GUILTY TO THESE CRIMES AND ACCEPT RESPONSIBILITY FOR ITS CRIMINAL CONDUCT, TO CONTINUE TO COOPERATE, AND TO ENTER INTO A WRITTEN PLEA AGREEMENT, WHICH INCLUDED A THREE-YEAR CONDITIONAL DISCHARGE REQUIRING BNPP TO IMPLEMENT COMPLIANCE PROCEDURES AND TRAINING, AMONG OTHER THINGS."
870895,AMENDED,Y,Y,,,Affiliates,874954,,,,,N,,"STATE OF INDIANA COURT, HAMILTON COUNTY- CAUSE # 29D01-0312-FC-110",12/17/2003,Y,,1. TWO CHARGES-CONVICTED OF 1: DRIVING WHILE INTOXICATED CAUSING DEATH. 2. FELONY 3. GUILTY 4. N/A,Y,Final,12/17/2003,Y,,"A. CONVICTED B. 3/3/2005 C. 4 YEARS D. 3 YEARS SUSPENDED, 1 YEAR TO SERVE AS WORK-RELEASE; AS A RESULT OF PROBATION VIOLATION, ADDITIONAL 2.5 YEARS OF WORK RELEASE/HOME DETENTION WHICH COMMENCED FEBRUARY 23, 2009. E. 3/21/05 F. CIVIL- $150,000 TOTAL G. FINAL PAYMENT MADE APRIL, 2008","MR. HORNER, WHILE INTOXICATED, WAS THE DRIVER OF A VEHICLE INVOLVED IN AN ACCIDENT. THE ACCIDENT RESULTED IN THE DEATH OF A PASSENGER IN HIS VEHICLE."
872171,AMENDED,,,Y,Y,Affiliates,876961,,,,,Y,,,,,,,,,,,,,
873513,AMENDED,,Y,,,Affiliates,878594,,,,,N,,UNITED STATES DISTRICT COURT - SOUTHERN DISTRICT OF FLORIDA CASE NO. 09-60033-CR-COHN,2/18/2009,Y,,"ONE FELONY COUNT OF CONSPIRACY TO DEFRAUD THE IRS. ON FEBRUARY 18, 2009, PURSUANT TO A DEFERRED PROSECUTION AGREEMENT WITH THE U.S. DEPARTMENT OF JUSTICE, UBS AG, OF WHICH UBS SWISS FINANCIAL ADVISERS AG IS A WHOLLY OWNED SUBSIDIARY, CONSENTED TO THE FILING OF A ONE-COUNT INFORMATION BY THE UNITED STATES ATTORNEY IN THE SOUTHERN DISTRICT OF FLORIDA CHARGING UBS AG WITH CONSPIRACY TO DEFRAUD THE INTERNAL REVENUE SERVICE IN VIOLATION OF TITLE 18 U.S.C. SECTION 371.",Y,Pending,,,,NO DISPOSITION.,"UBS AG ENTERED INTO A DEFERRED PROSECUTION AGREEMENT (DPA) WITH THE US DEPARTMENT OF JUSTICE (DOJ) AND A CONSENT ORDER WITH THE SECURITIES AND EXCHANGE COMMISSION (SEC).   AS PART OF THESE SETTLEMENT AGREEMENTS:  (I) UBS AG WILL PAY $780 MILLION TO THE UNITED STATES, INCLUDING $200 MILLION TO THE SEC, REPRESENTING DISGORGEMENT OF PROFITS FROM MAINTAINING THE US CROSS-BORDER BUSINESS AND BACKUP WITHHOLDING TAX, INTEREST AND PENALTIES; (II) UBS AG WILL COMPLETE THE EXIT OF THE US CROSS-BORDER BUSINESS FROM NON-SEC REGISTERED ENTITIES; (III) UBS AG WILL IMPLEMENT AND MAINTAIN AN EFFECTIVE PROGRAM OF INTERNAL CONTROLS WITH RESPECT TO COMPLIANCE WITH ITS OBLIGATIONS UNDER ITS QUALIFIED INTERMEDIARY (QI) AGREEMENT WITH THE INTERNAL REVENUE SERVICE (IRS) AS WELL AS A REVISED LEGAL AND COMPLIANCE GOVERNANCE STRUCTURE IN ORDER TO STRENGTHEN INDEPENDENT LEGAL AND COMPLIANCE CONTROLS. UNDER THE DPA, PROSECUTION OF UBS AG WILL BE DEFERRED FOR A PERIOD OF AT LEAST 18 MONTHS, AFTER WHICH THE CRIMINAL CHARGE WILL BE DISMISSED UPON COMPLETION BY UBS OF ALL OF ITS OBLIGATIONS UNDER THE DPA."
876417,AMENDED,,Y,,,Affiliates,881176,,,,,Y,,,,,,,,,,,,,
