"FilingID","SchA-3","Schedule","Full Legal Name","DE/FE/I","Entity in Which","Title or Status","Status Acquired","Ownership Code","Control Person","PR","OwnerID"
1043396,"Y","A","ROGERS, JOSHUA, DEAN","I","","PRESIDENT",11/2007,"C","Y","N","3163818"
1043396,"Y","A","OLD GROWTH CAPITAL, LLC","DE","","MANAGING MEMBER",07/2007,"E","Y","N","26-0439213"
1043396,"","B","JDROGERS & COMPANY, LLC","DE","OLD GROWTH CAPITAL, LLC","MEMBER",11/2008,"C","N","N","26-3715833"
1043396,"","B","OLD GROWTH CAPITAL, LLC","DE","ARETE WEALTH MANAGEMENT, LLC","MANAGING MEMBER",11/2007,"E","N","N","26-0439213"
1043396,"","B","ROGERS, JOSHUA, DEAN","I","JD ROGERS & COMPANY, LLC","MEMBER",11/2008,"C","N","N","3163818"
1043396,"","B","ROGERS, JOSHUA, DEAN","I","OLD GROWTH CAPITAL, LLC","MANAGING MEMBER",11/2007,"C","N","N","3163818"
1043396,"","B","GREER, JONATHAN, KRAMER","I","OLD GROWTH CAPITAL, LLC","MANAGING MEMBER",11/2008,"C","N","N","2515200"
1043396,"","B","HOCK, DAVID, CARL","I","OLD GROWTH CAPITAL, LLC","MANAGING MEMBER",11/2008,"C","N","N","2246268"
1043396,"","B","GREENE, JERRY, LEE","I","OLD GROWTH CAPITAL, LLC","MANAGING MEMBER",11/2008,"C","N","N","2232914"
1043396,"Y","A","CHUNG, UNBO","I","","CHIEF COMPLIANCE OFFICER",01/2014,"NA","N","N","6208569"
1043521,"Y","A","BRATSCHI, JOHN, GERARD","I","","LIMITED PARTNER, & MANAGING DIRECTOR",01/2008,"B","Y","N","1966087"
1043521,"Y","A","WOODHOUSE, THOMAS, FREDERIC","I","","LIMITED PARTNER, MANAGING DIRECTOR & CHIEF COMPLIANCE OFFICER",01/2008,"B","Y","N","2600569"
1043521,"Y","A","SEAWARD MANAGEMENT BUSINESS TRUST","DE","","GENERAL PARTNER",01/2008,"A","Y","N","04-2996258"
1043521,"","B","SEAWARD MANAGEMENT BUSINESS TRUST","DE","SEAWARD MANAGEMENT LIMITED PARTNERSHIP","GENERAL PARTNER",01/2008,"F","Y","N","04-2996258"
1043521,"Y","A","MORGAN, KELLY, ANNE","I","","LIMITED PARTNER & MANAGING DIRECTOR",01/2011,"B","Y","N","1191087"
1043521,"Y","A","ST. MARY, JEFFREY, J","I","","LIMITED PARTNER & MANAGING DIRECTOR",01/2011,"B","Y","N","5125730"
1043521,"Y","A","PETERSEN, STEPHEN, REINHOLD","I","","LIMITED PARTNER & MANAGING DIRECTOR",07/2015,"NA","Y","N","6286739"
1043521,"","B","BRATSCHI, JOHN, GERARD","I","SEAWARD MANAGEMENT LIMITED PARTNERSHIP","TRUSTEE",01/2011,"F","Y","N","1966087"
1043521,"","B","MORGAN, KELLY, ANNE","I","SEAWARD MANAGEMENT LIMITED PARTNERSHIP","TRUSTEE",01/2011,"F","Y","N","1191087"
1043521,"","B","WOODHOUSE, THOMAS, FREDERIC","I","SEAWARD MANAGEMENT LIMITED PARTNERSHIP","TRUSTEE",01/2011,"F","Y","N","2600569"
